"no","nama","jenis","alamat","kelurahan","kecamatan","kota","kode","no_telp","no_fax","daftar_online","web","email","lat","lng","url_bed","twitter","facebook","instagram","other_info"
22,Pekerja,Rumah Sakit Umum,"Jl. Raya Cakung Cilincing, RT.002/RW.003 ",Sukapura,Cilincing,Jakarta Utara,"14140","29484848  (10 lines)","29482875",,www.kbn.co.id,rsu.pekerja@gmail.com,-6.144747,106.923759,,,,,
23,Koja,Rumah Sakit Umum Daerah,Jl. Deli No. 4  Tanjung Priok,Koja,Koja,Jakarta Utara,"14220","43938478","4352401 - 4372273",,"202.147.199.11/v2",info.rsudkoja@gmail.com,-6.108805,106.900162,"202.147.199.11/bed/view-igd",,,,
24,Mitra Keluarga Kelapa Gading,Rumah Sakit Umum,Jl. Bukit Gading Raya Kav. II,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,"14240","45852700","45852727",,www.mitrakeluarga.com,kelapagading@mitrakeluarga.com,-6.151771,106.897102,,,,,
25,Gading Pluit,Rumah Sakit Umum,Jl. Boulevard Timur Raya RT. 006 / 02,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,"14250","4521001, 4520201","4520578",,,gadingpluit@gadingpluit-hospital.com,-6.166122,106.915993,,,,,
26,Pelabuhan Jakarta,Rumah Sakit Umum,"Jl. Kramat Jaya, Tanjung Priok",Tugu Utara,Koja,Jakarta Utara,"14260","4403026","4403551, 4406886",,www.rspelabuhan.com,marketing.rspj@gmail.com,-6.124692,106.917519,,,,,
27,Mulyasari,Rumah Sakit Umum,Jl. Raya Plumpang Semper No. 19,Tugu Utara,Koja,Jakarta Utara,"14260","4390666, 4393111, 4393888","43935676",,www.rsmulyasari.com,info@rsmulyasari.com,-6.129088,106.906509,,,,,
28,Port Medical Center,Rumah Sakit Umum,Jl. Enggano No. 10,Tanjung Priok,Tanjung Priok,Jakarta Utara,"14310","43902350","43902302",,,tienastari_jpkm@yahoo.com,-6.110295,106.889389,,,,,
29,Sukmul Sisma Medika,Rumah Sakit Umum,Jl. Tawes No. 18-20 ,Tanjung Priok,Tanjung Priok,Jakarta Utara,"14310","4301269","4301272",,,"sriha36@gmail.com, sukmul@indosat.net.id",-6.112143,106.881996,,,,,
30,Puri Medika,Rumah Sakit Umum,Jl Sungai Bambu  No. 5,Sungai Bambu,Tanjung Priok,Jakarta Utara,"14330","43903355-43901273","43903388",,www.purimdika.com,purmed-medcen@centrin.net.id,-6.129145,106.890198,,,,,
31,Satya Negara,Rumah Sakit Umum,Jl. Agung Utara Raya Blok A No. 1,Sunter Agung,Tanjung Priok,Jakarta Utara,"14350","65836583, 64715200, 64715900","687813-64717813",,www.rssatyanegara.com,"chitra_usmanuddin@yahoo.com, rssn@cbn.net.id",-6.138887,106.861549,,,,,
32,Royal Progress,Rumah Sakit Umum,Jl. Danau Sunter Utara Blok F 25 No. 12,Sunter Agung,Tanjung Priok,Jakarta Utara,"14350","6459877-6400261","6400778",,www.royalprogress.com,"setdir.rssn@gmail.com, ask.us@royalprogress.com",-6.139086,106.865395,,,,,
33,Hermina Podomoro,Rumah Sakit Umum,Jl. Danau Agung 2 Blok E3 No. 28-30,Sunter Agung,Tanjung Priok,Jakarta Utara,"14350","6404910","6518720",,www.hermina.com,podomoro@rsiahermina.com,-6.145772,106.859978,,,,,
34,Atma Jaya,Rumah Sakit Umum,Jl. Pluit Raya No. 2,Pejagalan,Penjaringan,Jakarta Utara,"14440","6606121 ; 6606127","6606122",,,rsatmajaya@pdpersi.co.id,-6.126524,106.792809,,,,,
35,Pluit,Rumah Sakit Umum,Jl. Raya Pluit Selatan No. 2,Penjaringan,Penjaringan,Jakarta Utara,"14440","6685006 - 6685070","6684878",,www.pluit-hospital.com,pluithospital@pluit-hospital.com,-6.125572,106.799835,,,,,
36,Duta Indah,Rumah Sakit Umum,Jl. Teluk Gong Raya No. 12,Pejagalan,Penjaringan,Jakarta Utara,"14450","66676188","666676190",,,,-6.138351,106.783676,,,,,
37,Pantai Indah Kapuk,Rumah Sakit Umum,Jl. Pantai Indah Utara 3 Sek. Utr. Tmr Blok T,Kapuk Muara,Penjaringan,Jakarta Utara,"14460","5880911","5880910",,www.pikhospital.co.id,pr@pikhospital.co.id,-6.111786,106.752617,,,,,
39,Pelni Petamburan,Rumah Sakit Umum,Jl. Aip II K. S. Tubun No. 92-94,Slipi,Pal Merah,Jakarta Barat,"11410","5480608","5483145",,,"info@rspelni.co.id, danty@rspelni.net",-6.193323,106.804817,,,,,
40,Bhakti Mulia,Rumah Sakit Umum,Jl. Aipda K. S. Tubun No. 79,Slipi - Petamburan,Pal Merah,Jakarta Barat,"11410","5481625, 5481262","5331544",,,rs.bhaktimulia@yahoo.co.id,-6.199652,106.800537,,,,,
41,Sumber Waras ,Rumah Sakit Umum,Jl. Kyai Tapa No. 1,Tomang,Grogol Petamburan,Jakarta Barat,"11440","5682011-5663726","5673122",,www.rssumberwaras.com,"bambang.heri@gmail.com, sekretariat@rssumberwaras.com",-6.167247,106.79837,,,,,
42,Royal Taruma,Rumah Sakit Umum,Jl. Daan Mogot  No. 34,Tanjung Duren Utara,Grogol Petamburan,Jakarta Barat,"11470","56958338, 56967788","56958589",,www.rs-royaltaruma.com,direksi@rs-royaltaruma.com,-6.166489,106.785637,,,,,
43,Patria IKKT,Rumah Sakit Umum,"Jl. Cendrawasih No. 1 Komp.Dep.Han, Mabes TNI  Slipi",Palmerah,Pal Merah,Jakarta Barat,"11480","5308981-5308984","5346387",,,patria_ikkt@yahoo.co.id,-6.197132,106.7929,,,,,
44,Puri Mandiri Kedoya,Rumah Sakit Umum,Jl. Kedoya Raya / Al-Kamal No. 2,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,"11520","5802126 ; 5828299","5816185 ; 5828499",,,customer_service@rspurimandirikedoya.com,-6.187422,106.761673,,,,,
45,Grha Kedoya,Rumah Sakit Umum,Jl. Panjang Arteri 26,Kedoya Utara,Kebon Jeruk,Jakarta Barat,"11520","56982222, 29910999","56982233",,www.grhakedoya.com,info@grhakedoya.com,-6.168242,106.765175,,,,,
46,Siloam Hospitals Kebon Jeruk,Rumah Sakit Umum,Jl. Raya Pejuangan Kav. 8,Kebun Jeruk,Kebon Jeruk,Jakarta Barat,"11530","5300887 ; 8 ; 9","5321766",,www.siloamhospital.com,info@siloamhospitals.com,-6.190661,106.76384,,,,,
47,Medika Permata Hijau,Rumah Sakit Umum,Jl. Raya Kebayoran Lama No. 64 ,Sukabumi Selatan,Kebon Jeruk,Jakarta Barat,"11560","5347411 - 5305288","5305291",,www.rsmph.co.id,mph-mkt@rad.net.id,-6.218273,106.77832,,,,,
48,Pondok Indah - Puri Indah,Rumah Sakit Umum,Jl. Puri Indah Raya  Blok S-2,Kembangan Selatan,Kembangan,Jakarta Barat,"11610","25695222, 25695200","25695205",,www.rspondokindah.co.id,rspi@rspondokindah.co.id,-6.185972,106.735947,,,,,
49,Cengkareng,Rumah Sakit Umum Daerah,"Jl. Kamal Raya, Bumi Cengkareng Indah",Cengkareng Timur,Cengkareng,Jakarta Barat,"11730","5442692 , 54372874 - 6","54372884 ; 54374844 , 5442693",,www.rsudcengkareng.com,rscengkareng@jakarta.go.id,-6.142909,106.735199,datakamar.rsudcengkareng.com,,,,SMS: 085770029000
50,Hermina Daan Mogot,Rumah Sakit Umum,"Jl. Kintamani Raya No. 2, Kawasan Daan Mogot Baru",Kalideres,Kalideres,Jakarta Barat,"11840","5408989 - 5411109","5449869",,www.herminahospitalgroup.com,daanmogot@herminahospitalgroup.com,-6.152913,106.71241,,,,,
52,Pusat Pertamina ,Rumah Sakit Umum,Jl. Kyai Maja No. 43,Gunung,Kebayoran Baru,Jakarta Selatan,"12120","7219202-7200290","7209811, 7203540",,www.rspp.co.id,"dr.maulana@gmail.com, syafik_a@hotmail.com, humasrspp@pertamedika.co.id",-6.240607,106.792831,,,,,
53,Muhammadiyah Taman Puring,Rumah Sakit Umum,Jl. Gandaria I / 20,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"12130","7208358, 7250243","7234823",,www.rsiamtp.com,rsiamtp@rsiamtp.com,-6.241654,106.787193,,,,,
54,Gandaria,Rumah Sakit Umum,Jl. Gandaria Tengah II No. 6 - 14,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"12140","7250718-7203311","7248175 - 7222038",,,,-6.244061,106.790398,,,,,
55,Yadika Kebayoran Lama,Rumah Sakit Umum,Jl. Ciputat Raya No. 5,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,"12240","7291074, 7291077","72895046",,,rsyadika@yahoo.com,-6.255353,106.777405,,,,,
56,Pondok Indah - Pondok Indah,Rumah Sakit Umum,"Jl. Metro Duta Kav. UE,  Pondok Indah",Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"12310","7657525-7692252","7502324",,www.rspondokindah.co.id,rspi@rspondokindah.co.id,-6.283649,106.781296,,,,,
57,Bhayangkara Sespimma Polri,Rumah Sakit Umum,Jl. Ciputat Raya No. 40,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"12310","021-7650384 ; 7666087 ; 7692919","021-7666106",,,"rs.sespimma_polri@yahoo.co.id, yenifebrianti66@yahoo.com",-6.286687,106.770523,,,,,
58,Dr. Suyoto,Rumah Sakit Umum,Jl. R.C. Veteran No. 178,Bintaro,Pesanggrahan,Jakarta Selatan,"12330","7342581","77884000, 73425817",,www.suyotohospital.com,"pemasaranrsds@yahoo.com, humas@suyotohospital.com",-6.267451,106.766129,,,,,
59,Fatmawati ,Rumah Sakit Umum Pusat,Jl. RS. Fatmawati,Cilandak Barat,Cilandak,Jakarta Selatan,"12430","7660552, 7501524","7690123 - 7504022",,www.fatmawatihospital.com,rsupf@fatmawatihospita.com,-6.295009,106.795578,,,,,
60,Setia Mitra,Rumah Sakit Umum,Jl. RS Fatmawati No. 80 - 82,Cilandak Barat,Cilandak,Jakarta Selatan,"12430","7656000","7656875",,,"dwilaras_p@yahoo.com,  info@rssetiamitra.co.id",-6.281337,106.795708,,,,,
61,Siloam TB Simatupang,Rumah Sakit Umum,Jl. RA. Kartini No.8,Cilandak Barat,Cilandak,Jakarta Selatan,"12430","29531900",,,www.siloamhospital.com,irna.hardiawan@siloamhospitals.com,-6.292365,106.783905,,,,,
62,Mayapada,Rumah Sakit Umum,Jl. Lebak Bulus I  RT.006 / RW.004,Cilandak Barat,Cilandak,Jakarta Selatan,"12440",,,,,,-6.298736,106.785728,,,,,
63,Prikasih,Rumah Sakit Umum,Jl. RS. Fatmawati No. 74  RT.005 / RW.01,Pondok Labu,Cilandak,Jakarta Selatan,"12450","7501192, 7504669","7505148",,www.rsprikasih.com,prikasih@cbn.net.id,-6.314489,106.793518,,,,,
64,Siaga Raya,Rumah Sakit Umum,Jl. Siaga Raya Kav. 4-8,Pejaten Barat,Pasar Minggu,Jakarta Selatan,"12510","7972750-7972790","7970494",,,rs_sigaraya@pdpersi.co,-6.272883,106.838951,,,,,
65,Rumkital Marinir Cilandak,Rumah Sakit Umum,Jl. Raya Cilandak  KKO,Cilandak Timur,Pasar Minggu,Jakarta Selatan,"12560","7805296, 7805415","7812764",,,"enytiar@yahoo.com, layanan@rsmarinir.com",-6.305478,106.813354,,,,,
66,Ali Sibroh Malisi,Rumah Sakit Umum,Jl. Warung Silah No. 1  RT.008 / RW.05,Cipedak,Jagakarsa,Jakarta Selatan,"12630","021-7868172, 7270681","78885063",,,md_azri@yahoo.com,-6.344991,106.813705,,,,,
67,Zahirah,Rumah Sakit Umum,Jl. Sirsak No. 21,Jagakarsa,Jagakarsa,Jakarta Selatan,"12690","7872210, 78888723","7270013",,www.rszahirah.com,marketing@rszahirah.com,-6.335719,106.823326,,,,,
68,Jakarta Medical Center,Rumah Sakit Umum,Jl. Warung Buncit Raya No. 15,Kalibata,Pancoran,Jakarta Selatan,"12740","7985177-7980888","7940838",,,rs_jmc@cbn.net.id,-6.271507,106.830147,,,,,
69,Siloam Asri,Rumah Sakit Umum,Jl. Duren Tiga Raya No. 20  RT.004 / RW.01,Duren Tiga,Pancoran,Jakarta Selatan,"12760","7992211","7996505",,,,-6.254546,106.83213,,,,,
70,Tria Dipa,Rumah Sakit Umum,Jl. Raya Pasar Minggu No. 3 A,Pancoran,Tebet,Jakarta Selatan,"12780","7974071-73","7974074",,,customer@rs-triadipa.com,-6.250846,106.841957,,,,,
71,Tebet,Rumah Sakit Umum,Jl. MT. Haryono No. 8,Pancoran,Tebet,Jakarta Selatan,"12810","8307540","8311760",,,,-6.242549,106.849945,,,,,
72,Jakarta,Rumah Sakit Umum,Jl. Jend. Sudirman Kav. 49 ,Karet Semanggi,Setiabudi,Jakarta Selatan,"12930","5732241","5710240 ; 5710249",,,,-6.218441,106.816101,,,,,
73,Metropolitan Medical Center,Rumah Sakit Umum,Jl. HR. Rasuna Said Kav. C-21 Kuningan,Karet Kuningan,Setiabudi,Jakarta Selatan,"12940","5203435","5203417",,www.rsmmc.co.id/mmc@rsmmc.co.id,mmc@rsmmc.co.id,-6.219806,106.832146,,,,,
74,Medistra,Rumah Sakit Umum,Jl. Jenderal Gatot Subroto Kav. 59,Kuningan Timur,Setiabudi,Jakarta Selatan,"12950","5210200","5210184",,,"customercare@medistra.com, medistra@cbn.net.id",-6.239865,106.833328,,,,,
75,Agung,Rumah Sakit Umum,Jl. Sultan Agung No. 67,Pasar Manggis,Setiabudi,Jakarta Selatan,"12970","8295971-8294955","8305791",,,rsagung@pdpersi.co.id,-6.209167,106.846275,,,,,
77,Columbia Asia Pulomas,Rumah Sakit Umum,Jl. Kayu Putih Raya  No. 1  RT.003 / RW.016,Kayu Putih,Pulogadung,Jakarta Timur,"13210","47883195","47883199",,www.rsadmira.com,rsadmira@rsadmira.com,-6.182741,106.891495,,,,,
78,Omni Medical Center,Rumah Sakit Umum,Jl. Pulomas Barat VI No.20,Kayu Putih,Pulogadung,Jakarta Timur,"13210","4723332-4722719","4718081",,www.omni-hospitals.com,normariati70@yahoo.com,-6.17582,106.885246,,,,,
79,Kartika Pulomas ,Rumah Sakit Umum,Jl. Pulomas Timur K. No. 2,Kayu Putih,Pulogadung,Jakarta Timur,"13210","4723402 - 4703333","4723402",,,,-6.17582,106.885246,,,,,
80,Aneka Tambang Medika (Antam Medika),Rumah Sakit Umum,Jl. Pemuda Raya No. 1A RT.002 / RW.07,Jatinegara Kaum,Pulogadung,Jakarta Timur,"13210","29378939, 29378943","29378960",,www.antammedika.co.id,rumahsakit@antammedika.co.id,-6.192658,106.902603,,,,,
81,Persahabatan ,Rumah Sakit Umum Pusat,Jl. Persahabatan Raya ,Pisangan Timur,Pulogadung,Jakarta Timur,"13220","4891708-4890696","4711222, 478608873",,www.persahabatan.co.id,rsp@pcraahabatan.ce.1d,-6.202596,106.885071,,,,,
82,Dharma Nugraha,Rumah Sakit Umum,Jl. Balai Pustaka Baru No. 19,Rawamangun,Pulogadung,Jakarta Timur,"13220","4707433-4707437","4707428",,,dharmanugraha@yahoo.com,-6.195859,106.886421,,,,,
83,Mediros,Rumah Sakit Umum,Jl. Perintis Kemerdekaan Kav. 149,Pulogadung,Pulogadung,Jakarta Timur,"13260","4721336 - 37","4891937, 4891937",,www.rs-mediros.com,"lumentagrace@yahoo.com, rsmediros@cbn.net.id",-6.179724,106.903748,,,,,
84,Premier Jatinegara,Rumah Sakit Umum,Jl. Raya Jatinegara Timur No. 85 - 87,Rawa Bunga,Jatinegara,Jakarta Timur,"13310","2800666, 2800777, 2800888","2800755",,www.ramsayhealth.co.id,rspremier.jatinegara@ramsayhealth.co.id,-6.221951,106.868935,,,,,
85,Pengayoman Cipinang,Rumah Sakit Umum,Jl. Raya Bekasi Timur 170 B,Cipinang Besar Utara,Jatinegara,Jakarta Timur,"13410","085210432196, 85914558","85909644",,,rspengayoman.dki@gmail.com,-6.221951,106.868935,,,,,
86,Yadika Pondok Bambu,Rumah Sakit Umum,Jl. Pahlawan Revolusi No. 47,Pondok Bambu,Duren Sawit,Jakarta Timur,"13430","8615754-8610756","8631708",,,rsyadika@yahoo.co.id,-6.237237,106.898796,,,,,
87,Islam Jakarta Pondok Kopi,Rumah Sakit Umum,Jl. Raya Pondok Kopi,Pondok Kopi,Duren Sawit,Jakarta Timur,"13460","8610471 , 8630654","8611101",,www.rsijpondokkopi.co.id,"aliyus_k@yahoo.com, ariefb12@gmail.com",-6.220089,106.939682,,,,,
88,Dik Pusdikkes Kodiklat TNI AD,Rumah Sakit Umum,Jl. Raya Bogor,Kramat Jati,Kramat Jati,Jakarta Timur,"13510","8092358, 8003491","8092706, 80887304",,www.pusdikkes.com,rs.dik.pusdikkes@gmail.com,-6.275258,106.869537,,,,,
89,Bhayangkara Tk.I  R. Said Sukanto,Rumah Sakit Umum,Jl. RS Polri,Kramat Jati,Kramat Jati,Jakarta Timur,"13510","8093288","8094005",,,rs_polri@pdpersi.co.id,-6.269806,106.870674,,,,,
90,Al-Fauzan,Rumah Sakit Umum,Jl. Pedati No. 3  RT.005 / RW.07,Kp. Tengah,Kramat Jati,Jakarta Timur,"13540","8402821","87710318 ",,www.jih.co.id,jakartaislamichospital@yahoo.com,-6.297779,106.870377,,,,,
91,Haji Jakarta,Rumah Sakit Umum,Jl. Raya Pondok Gede No. 4,Pinang Ranti,Makasar,Jakarta Timur,"13560","8000693-695","80876209, 8000702",,,"keliek_marwanto@yahoo.co.id, rshaji@pdpersi.co.id",-6.290169,106.888847,,,,,
92,Pusat Angkatan Udara Dr. Esnawan Antariksa,Rumah Sakit Umum,"Jl. Merpati No. 2,  Komplek Rajawali",Halim Perdanakusuma,Makasar,Jakarta Timur,"13610","8091716-8093943","8098665",,,ruspau@pdpersi.co.id,-6.257015,106.891922,,,,,
93,Harum Sisma Medika,Rumah Sakit Umum,Jl. Inspeksi Tarum Barat - Kalimalang,Cipinang Melayu,Makasar,Jakarta Timur,"13620","8617212-13","8601030",,,"erwintyrana@sismamedika.com, rsharum@pdpersi.co.id",-6.24808,106.90963,,,,,
94,Budhi Asih ,Rumah Sakit Umum Daerah,Jl. Dewi Sartika  Cawang III  No. 200,Cawang,Kramat Jati,Jakarta Timur,"13630","8090282, 8092482","8009157-8007348",www.pendaftaranonline.rsudbudhiasih.com,www.rsudbudhiasih.com,budhiasih@ymail.com,-6.256015,106.862869,online.rsudbudhiasih.com/bed,www.twitter.com/RSUDBudhiAsih,www.facebook.com/rsud.budhiasih,https://www.instagram.com/rsudbudhiasih,"WA/SMS: 085692081742, BB: 53B428AA, Qlue: rsudbudhiasih200"
95,Universitas Kristen Indonesia,Rumah Sakit Umum,Jl. Mayjen Sutoyo No. 2,Cawang,Kramat Jati,Jakarta Timur,"13630","8092317, 8092831, 8010523","8092445",,,rsuuki@yahoo.co.id,-6.25092,106.872002,,,,,
96,Olahraga Nasional,Rumah Sakit Umum,Jl. Jambore No. 1,Cibubur,Ciracas,Jakarta Timur,"13720","87753977","021-87753977",,,rsolahragacibubur@gmail.com,-6.368448,106.892929,,,,,
97,Tingkat IV Cijantung Kesdam Jaya,Rumah Sakit Umum,"Jl. Mahoni,  Cijantung II ",Gedong,Pasar Rebo,Jakarta Timur,"13760","8400535","8407886",,,kesdamjaya_cijantung@yahoo.com,-6.309916,106.859673,infokamar.rsudpasarrebo.co.id,,,,
98,Pasar Rebo,Rumah Sakit Umum Daerah,Jl. Letjen T. B. Simatupang No. 30,Gedong,Pasar Rebo,Jakarta Timur,"13760","8401127/ 8400109","8411159",,www.rsudpasarrebo.co.id,rsudpasarrebo@yahoo.com,-6.304108,106.861931,infokamar.rsudpasarrebo.co.id/,,,,
99,Adhyaksa,Rumah Sakit Umum,"Jl. Hankam Raya No. 60, Ceger, Cipayung, RT.7/RW.2, Jakarta Timur, 13890",Ceger,Cipayung,Jakarta Timur,"13820",(021) 29462345,(021) 29462370,,www.rsuadhyaksa.com,adhyaksarsu@gmail.com,-6.307757,106.892792,,,,,
100,Harapan Bunda,Rumah Sakit Umum,Jl. Raya Bogor KM. 22 No. 44,Rambutan,Ciracas,Jakarta Timur,"13830","8400257","87781247",,,"hrd@rsharapanbunda.com, harapanbunda@pdpersi.co.id",-6.29439,106.880798,,,,,
101,Harapan Jayakarta ,Rumah Sakit Umum,Jl. Bekasi Timur Raya  Nomor 6  KM.18,Pulogadung,Cakung,Jakarta Timur,"13930","4608886, 4603916, 46821726","4608863",,,,-6.195012,106.906258,,,,,
102,Kepulauan Seribu,Rumah Sakit Umum Daerah,Pulau Pramuka,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,"14510","021-33230332, 33312388, 36571981","33312388, 37175900",,,rsukepulauanseribu@yahoo.co.id,-5.744879,106.613396,,,,,
103,Cempaka Putih,Rumah Sakit Umum Kecamatan,Jl. Rawasari Selatan  Nomor 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,"10510","4224243","42801340",,rsucempakaputih.jakarta.go.id,rsucempakaputih@jakarta.go.id,-6.184666,106.869911,rsucempakaputih.com/board,,,,
104,Sawah Besar,Rumah Sakit Umum Kecamatan,Jl. Dwiwarna Raya  Nomor 6-8,Karang Anyar,Sawah Besar,Jakarta Pusat,"10740","62320819","6283864",,rsusawahbesar.jakarta.go.id,rsusawahbesar@jakarta.go.id,-6.149973,106.829605,rsusawahbesar.jakarta.go.id/dashboard/,,,,
105,Johar Baru,Rumah Sakit Umum Kecamatan,Jl. Tanah Tinggi XII,Tanah Tinggi,Johar Baru,Jakarta Pusat,"10540", 4246359,"4224041",,rsujoharbaru.jakarta.go.id,,-6.181071,106.849373,rsujoharbaru.jakarta.go.id/dashboard,,,,
106,Kemayoran,Rumah Sakit Umum Kecamatan,Jl. Serdang Baru I,Serdang,Kemayoran,Jakarta Pusat,"10650","4251005, 4244277","4251005",,rsukemayoran.jakarta.go.id,rsukemayoran@jakarta.go.id,-6.1608,106.862289,rsukemayoran.jakarta.go.id/dashboard1,,,,
107,Koja,Rumah Sakit Umum Kecamatan,Jl. Walang Permai No. 39,Tugu Utara,Koja,Jakarta Utara,"14260","43905651, 4358809","4367168",,www.rsudtugukoja.com,rsukeckoja@jakarta.go.id,-6.127233,106.906982,www.rsudtugukoja.com/info,,,,
108,Cilincing,Rumah Sakit Umum Kecamatan,"Jl, Madya Kebantenan No. 4",Cilincing,Cilincing,Jakarta Utara,"14130","4412889, 4416367","4412889, 4416367",,,,-6.118146,106.927902,rsucilincing.com/bed/,,,,
