"NO","NAMA_PUSKESMAS","WILAYAH","ALAMAT","NO_TELP","FAX","NAMA_KA_PUSKESMAS","EMAIL","LAT","LNG","KECAMATAN","KAMAR_TIDUR"
32,PUSKESMAS KECAMATAN GROGOL PETAMBURAN,JAKARTA BARAT,Wijaya III Komp. Duta Mas,"564 8379","564 8379",dr. Murniasi Hutapea,petpkc_lo@yahoo.com ,-6.151111,"106.779724",GROGOL PETAMBURAN,
33,PUSKESMAS KECAMATAN TAMBORA,JAKARTA BARAT,Krendang Utara No. 4,"6318822","6318822",dr. Ahrahayati Wildany,pkm_kec_tambora@yahoo.co.id,-6.148056,"106.804726",TAMBORA,
34,PUSKESMAS KECAMATAN TAMANSARI,JAKARTA BARAT,Jl. Madu No.10 Rt.003/03,"6297752","6297752",dr. Herwin Meifendy,pkc_tamansari@yahoo.com,-6.143889,"106.819168",TAMAN SARI,
35,PUSKESMAS KECAMATAN CENGKARENG,JAKARTA BARAT,Jl. Raya kamal No.2 Cengkareng,"6191756","6191756",dr. Maryati Kasiman,puskesmascengkareng@yahoo.co.id,-6.144444,"106.728615",CENGKARENG,
36,PUSKESMAS KECAMATAN KALIDERES,JAKARTA BARAT,Jalan Satu Maret,"54390576","54390576",dr. Darus Sahmedi,pkc_kalideres@yahoo.co.id,-6.12677,"106.7162256",KALIDERES,
37,PUSKESMAS KECAMATAN PENJARINGAN,JAKARTA UTARA,Jl. Raya Teluk Gong  No. 2,"66690881","66690881",drg. Florida Masniari Sitinjak,pkm_penji@yahoo.co.id,-6.138333,"106.781113",PENJARINGAN,
38,PUSKESMAS KECAMATAN PADEMANGAN,JAKARTA UTARA,Jl. Budi Mulia Nomor 11,"6452346","6452346",drg. Dara Pahlarini,pkc_pademangan@yahoo.com,-6.136944,"106.843613",PADEMANGAN,
39,PUSKESMAS KECAMATAN TANJUNG PRIOK,JAKARTA UTARA,Jl. Bugis No. 63,"43930348","43908923",dr. Yudi Dimyati,pkmtgpriok@yahoo.co.id ,-6.116111,"106.889168",TANJUNG PRIOK,
40,PUSKESMAS KECAMATAN KOJA,JAKARTA UTARA,Jl. Wayang Permai Nomor 39,"435 8809","435 8809",dr. Lysbeth Regina Pandjaitan,pkm_koja@yahoo.com,-6.119444,"106.919441",KOJA,
41,PUSKESMAS KECAMATAN KELAPA GADING,JAKARTA UTARA,"Jl. Pelepah Elok blok HF No. 7 Kelapa gading Barat, Jakarta Utara","45853300","45853301",drg. Dini Indrawati,puskeskec_gading@yahoo.com,-6.155915,"106.904785",KELAPA GADING,
42,PUSKESMAS KECAMATAN CILINCING,JAKARTA UTARA,Jl. Madya Kebantenan Nomor 4,"4416367","4412889",dr. Mirsad,puskesmas.cilincing@yahoo.com,-6.148333,"106.924446",CILINCING,
43,Pusk. Kec. Kep.Seribu Utara,KEPULAUAN SERIBU,Pulau Kelapa,"37175900","37175900","Edwin Masli, SKM",puskesmaspulau@yahoo.co.id,-5.654261,"106.567818",Kep.Seribu Utara,
44,Pusk. Kec. Kep.Seribu Selatan,KEPULAUAN SERIBU,Pulau Tidung,,"5447381",dr. Syukur Pelianus T,pkm.1000selatan@yahoo.com,-5.798503,"106.498444",Kep.Seribu Selatan,
